Year,Indicator Name,Indicator Code,Value
2007,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,42.4723371
2006,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,43.00670509
2005,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,45.27133825
2004,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.34004474
2003,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.66707921
2002,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.4929841
2001,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,13.83989145
2000,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,13.33333333
1999,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,18.19070905
1998,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,15.49491212
1997,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.50916616
1996,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.10301923
1995,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.79865049
1994,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,21.11043201
1993,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.52392694
1992,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.9764306
1991,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.52601402
1990,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.81878349
1989,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.45453828
1988,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.34239742
1987,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.72134403
1986,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.63526162
1985,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.2994733
1984,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,19.41581673
1983,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.28172763
1982,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.61537766
1981,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.96257865
1980,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.84293315
1979,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.36222593
1978,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.13237221
1977,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.89117043
1976,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,26.87801516
2018,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,6253000000
2017,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,5868000000
2016,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,5674000000
2015,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,5656000000
2014,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,4813000000
2013,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,4464000000
2012,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,3974000000
2011,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,3938000000
2010,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,3868000000
2009,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,4221000000
2008,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,5644000000
2007,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,5104000000
2006,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,3999000000
2005,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,3173000000
2004,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,2584050000
2003,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,2404000000
2002,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,2414000000
2001,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,2189000000
2000,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,2336000000
1999,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,1959000000
1998,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,2263000000
1997,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,2366365844
1996,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,2197772553
1995,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,2125384816
1994,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,1829522865
1993,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,1609527205
1992,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,1484507416
1991,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,1261460432
1990,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,1180548352
1989,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,1109112431
1988,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,911727227.8
1987,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,909315288.5
1986,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,757102640.1
1985,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,694966263.7
1984,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,665425066.1
1983,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,580471274.8
1982,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,534474464.4
1981,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,378448851.8
1980,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,359064638.7
1979,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,313293538.6
1978,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,240323647.4
1977,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,223070682.8
1976,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,168267148.4
2018,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,67869240000
2017,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,64498000000
2016,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,51906000000
2015,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,48622000000
2014,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,51141000000
2013,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,49167000000
2012,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,48902000000
2011,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,47151000000
2010,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,40016000000
2009,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,35151430000
2008,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,47929000000
2007,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,37586000000
2006,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,35098000000
2005,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,29275200000
2004,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,22007000000
2003,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,15210000000
2002,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,12566000000
2001,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,11952000000
2000,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,12026000000
1999,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,11565000000
1998,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,11996000000
1997,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,13408451100
1996,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,15622529175
1995,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,14185295078
1994,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,11884759297
1993,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,12018661354
1992,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,12399961066
1991,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,10997458785
1990,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,10205366734
1989,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,9112947789
1988,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,8623660011
1987,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7570955417
1986,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7200329462
1985,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7090127077
1984,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7355744359
1983,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6607694676
1982,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6721839747
1981,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6601897629
1980,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6347873098
1979,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,5100889713
1978,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,3855733113
1977,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2993490837
1976,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2643864585
2018,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.4756494
2017,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.078954659
2016,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.271721445
2015,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.404791643
2014,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.102763997
2013,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.532503458
2012,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.708230598
2011,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.93575282
2010,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.415586226
2009,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.91508942
2008,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.531693376
2007,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.973063597
2006,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.023173744
2005,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.292939937
2004,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.094705444
2003,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.517326733
2002,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.659494855
2001,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.522840344
2000,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.708920188
1999,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.569682152
1998,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.515263645
1997,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.916015437
1996,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.307773176
1995,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.5753654
1994,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.758836468
1993,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.070867431
1992,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,1.371986005
1991,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.753067829
1990,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,1.212597134
1989,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,1.642148527
1988,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.080935448
1987,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.13939562
1986,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.02999718
1985,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,1.976484479
1984,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.390495759
1983,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.283125629
1982,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.154818264
1981,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,1.975935534
1980,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.018736988
1979,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,1.987434286
1978,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,1.638269987
1977,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,1.35523614
1976,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.228348266
2018,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,57435000000
2017,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,53669000000
2016,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,42687000000
2015,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,39815000000
2014,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,42675000000
2013,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,41214000000
2012,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,40385000000
2011,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,38995000000
2010,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,32843000000
2009,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,28536000000
2008,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,38132000000
2007,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,28639000000
2006,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,26597000000
2005,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,21683200000
2004,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,16643000000
2003,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,11978000000
2002,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,10428000000
2001,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,9741000000
2000,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,9896000000
1999,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,9520000000
1998,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,9834000000
1997,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,10750177379
1996,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,12163732482
1995,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,11247761165
1994,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,9355275505
1993,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,9379891899
1992,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,9716526928
1991,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,8683283103
1990,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,8132503396
1989,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,7400895822
1988,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,7130851528
1987,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,6283337657
1986,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5999165490
1985,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5905892148
1984,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,6263361660
1983,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5618267353
1982,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5770827043
1981,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5682517595
1980,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5470407619
1979,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,4309384592
1978,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3236250197
1977,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2499244147
1976,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2202087205
2018,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,10434240000
2017,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,10829000000
2016,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,9219000000
2015,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,8807000000
2014,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,8466000000
2013,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,7953000000
2012,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,8517000000
2011,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,8156000000
2010,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,7173000000
2009,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,6615430000
2008,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,9797000000
2007,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,8947000000
2006,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,8501000000
2005,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,7592000000
2004,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,5364000000
2003,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,3232000000
2002,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2138000000
2001,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2211000000
2000,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2130000000
1999,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2045000000
1998,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2162000000
1997,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2658273721
1996,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,3458796693
1995,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2937533913
1994,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2529483791
1993,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2638769455
1992,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2683434138
1991,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2314175682
1990,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2072863338
1989,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,1712051967
1988,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,1492808483
1987,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,1287617761
1986,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,1201163972
1985,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,1184234929
1984,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,1092382699
1983,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,989427323.1
1982,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,951012703.7
1981,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,919380034.5
1980,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,877465479.4
1979,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,791505120.7
1978,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,619482915.4
1977,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,494246690.3
1976,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,441777380.5
2018,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,189000000
2017,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,227000000
2016,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,221000000
2015,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,180000000
2014,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,160000000
2013,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,126000000
2012,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,161000000
2011,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,127000000
2010,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,124000000
2009,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,90000000
2008,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,117000000
2007,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,107000000
2006,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,106000000
2005,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,109000000
2004,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,86000000
2003,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,36000000
2002,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,18000000
2001,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,19000000
2000,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,28000000
1999,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,22000000
1998,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,11000000
1997,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,19336528.38
1996,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,13762344.77
1995,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,21204378.3
1994,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,11858421.19
1993,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,6147678.642
2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,74122240000
2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,70366000000
